ID;CODE_GENDER;FLAG_OWN_CAR;FLAG_OWN_REALTY;CNT_CHILDREN;AMT_INCOME_TOTAL;NAME_INCOME_TYPE;NAME_EDUCATION_TYPE;NAME_FAMILY_STATUS;NAME_HOUSING_TYPE;DAYS_BIRTH;DAYS_EMPLOYED;FLAG_MOBIL;FLAG_WORK_PHONE;FLAG_PHONE;FLAG_EMAIL;OCCUPATION_TYPE;CNT_FAM_MEMBERS
7999952;M;Y;Y;0;427500.0;Commercial associate;Academic degree;Civil marriage;Co-op apartment;-12005;-4542;1;1;0;0;;2.0
7999953;M;Y;Y;0;427500.0;Commercial associate;Academic degree;Civil marriage;Co-op apartment;-12005;-4542;1;1;0;0;;2.0
7999954;M;Y;Y;0;112500.0;Commercial associate;Academic degree;Married;Co-op apartment;-21474;-1134;1;0;0;0;Security staff;2.0
7999955;F;N;Y;0;270000.0;Commercial associate;Higher education;Single / not married;Co-op apartment;-19110;-3051;1;0;1;1;Sales staff;1.0
7999956;F;N;Y;0;270000.0;Commercial associate;Higher education;Single / not married;Co-op apartment;-19110;-3051;1;0;1;1;Sales staff;1.0
7999957;F;N;Y;0;270000.0;Commercial associate;Higher education;Single / not married;Co-op apartment;-19110;-3051;1;0;1;1;Sales staff;1.0
7999958;F;N;Y;0;270000.0;Commercial associate;Higher education;Single / not married;Co-op apartment;-19110;-3051;1;0;1;1;Sales staff;1.0
7999959;F;N;Y;0;283500.0;Commercial associate;Higher education;Separated;Co-op apartment;-22464;365243;1;0;0;0;;1.0
7999960;F;N;Y;0;283500.0;Commercial associate;Higher education;Separated;Co-op apartment;-22464;365243;1;0;0;0;;1.0
7999961;F;N;Y;0;283500.0;Commercial associate;Higher education;Separated;Co-op apartment;-22464;365243;1;0;0;0;;1.0
7999962;M;Y;Y;0;270000.0;Commercial associate;Higher education;Married;Co-op apartment;-16872;-769;1;1;1;1;Accountants;2.0
7999963;M;Y;Y;0;270000.0;Commercial associate;Higher education;Married;Co-op apartment;-16872;-769;1;1;1;1;Accountants;2.0
7999964;M;Y;Y;0;270000.0;Commercial associate;Higher education;Married;House / apartment;-16872;-769;1;1;1;1;Accountants;2.0
7999965;M;Y;Y;0;135000.0;Commercial associate;Higher education;Married;House / apartment;-17778;-1194;1;0;0;0;Laborers;2.0
7999966;M;Y;Y;0;135000.0;Commercial associate;Higher education;Married;House / apartment;-17778;-1194;1;0;0;0;Laborers;2.0
7999967;M;Y;Y;0;135000.0;Commercial associate;Higher education;Married;House / apartment;-17778;-1194;1;0;0;0;Laborers;2.0
7999968;M;Y;Y;0;135000.0;Commercial associate;Higher education;Married;House / apartment;-17778;-1194;1;0;0;0;Laborers;2.0
7999969;M;Y;Y;0;135000.0;Commercial associate;Higher education;Married;House / apartment;-17778;-1194;1;0;0;0;Laborers;2.0
7999970;M;Y;Y;0;135000.0;Commercial associate;Higher education;Married;House / apartment;-17778;-1194;1;0;0;0;Laborers;2.0
7999971;F;Y;N;0;130500.0;Commercial associate;Higher education;Married;House / apartment;-10669;-1103;1;0;0;0;Accountants;2.0
7999972;F;Y;N;0;130500.0;Commercial associate;Higher education;Married;House / apartment;-10669;-1103;1;0;0;0;Accountants;2.0
7999973;F;N;Y;0;157500.0;Commercial associate;Higher education;Married;House / apartment;-10031;-1469;1;0;1;0;Laborers;2.0
7999974;F;N;Y;0;157500.0;Commercial associate;Higher education;Married;House / apartment;-10031;-1469;1;0;1;0;Laborers;2.0
7999975;F;N;Y;0;157500.0;Commercial associate;Higher education;Married;House / apartment;-10031;-1469;1;0;1;0;Laborers;2.0
7999976;F;N;Y;1;112500.0;Commercial associate;Higher education;Single / not married;House / apartment;-10968;-1620;1;0;0;0;;2.0
7999977;F;N;Y;1;112500.0;Commercial associate;Higher education;Single / not married;House / apartment;-10968;-1620;1;0;0;0;;2.0
7999978;F;N;Y;1;112500.0;Commercial associate;Higher education;Single / not married;House / apartment;-10968;-1620;1;0;0;0;;2.0
7999979;M;Y;Y;3;270000.0;Commercial associate;Higher education;Married;House / apartment;-12689;-1163;1;0;0;0;Laborers;5.0
7999980;M;Y;Y;3;270000.0;Commercial associate;Higher education;Married;House / apartment;-12689;-1163;1;0;0;0;Laborers;5.0
7999981;M;N;Y;1;405000.0;Commercial associate;Higher education;Married;House / apartment;-11842;-2016;1;0;0;0;Managers;3.0
7999982;M;N;Y;1;405000.0;Commercial associate;Higher education;Married;House / apartment;-11842;-2016;1;0;0;0;Managers;3.0
7999983;M;N;Y;1;405000.0;Commercial associate;Higher education;Married;House / apartment;-11842;-2016;1;0;0;0;Managers;3.0
7999984;M;N;Y;1;405000.0;Commercial associate;Higher education;Married;House / apartment;-11842;-2016;1;0;0;0;Managers;3.0
7999985;M;N;Y;1;405000.0;Commercial associate;Higher education;Married;House / apartment;-11842;-2016;1;0;0;0;Managers;3.0
7999986;M;N;Y;1;405000.0;Commercial associate;Higher education;Married;House / apartment;-11842;-2016;1;0;0;0;Managers;3.0
7999987;M;Y;Y;0;112500.0;Commercial associate;Higher education;Married;House / apartment;-20502;-4450;1;0;1;0;Drivers;2.0
7999988;M;Y;Y;0;112500.0;Commercial associate;Higher education;Married;House / apartment;-20502;-4450;1;0;1;0;Drivers;2.0
7999989;M;Y;Y;0;112500.0;Commercial associate;Higher education;Married;House / apartment;-20502;-4450;1;0;1;0;Drivers;2.0
7999990;M;Y;Y;0;112500.0;Commercial associate;Higher education;Married;House / apartment;-20502;-4450;1;0;1;0;Drivers;2.0
7999991;M;Y;Y;0;112500.0;Commercial associate;Higher education;Married;House / apartment;-20502;-4450;1;0;1;0;Drivers;2.0
7999992;M;Y;Y;0;112500.0;Commercial associate;Higher education;Married;House / apartment;-20502;-4450;1;0;1;0;Drivers;2.0
7999993;M;Y;Y;0;112500.0;Commercial associate;Higher education;Married;House / apartment;-20502;-4450;1;0;1;0;Drivers;2.0
7999994;M;Y;Y;0;112500.0;Commercial associate;Higher education;Married;House / apartment;-20502;-4450;1;0;1;0;Drivers;2.0
7999995;M;Y;Y;0;112500.0;Commercial associate;Higher education;Married;House / apartment;-20502;-4450;1;0;1;0;Drivers;2.0
7999996;M;Y;Y;0;112500.0;Commercial associate;Higher education;Married;House / apartment;-20502;-4450;1;0;1;0;Drivers;2.0
7999997;M;Y;Y;0;112500.0;Commercial associate;Higher education;Married;House / apartment;-20502;-4450;1;0;1;0;Drivers;2.0
7999998;F;Y;Y;2;135000.0;Commercial associate;Higher education;Married;House / apartment;-15761;-3173;1;0;0;0;Laborers;4.0
7999999;F;Y;Y;2;135000.0;Commercial associate;Higher education;Married;House / apartment;-15761;-3173;1;0;0;0;Laborers;4.0
8000000;F;Y;Y;2;135000.0;Commercial associate;Higher education;Married;House / apartment;-15761;-3173;1;0;0;0;Laborers;4.0
8000001;F;Y;Y;2;135000.0;Commercial associate;Higher education;Married;House / apartment;-15761;-3173;1;0;0;0;Laborers;4.0
8000002;F;Y;Y;2;135000.0;Commercial associate;Higher education;Married;House / apartment;-15761;-3173;1;0;0;0;Laborers;4.0
8000003;F;Y;Y;2;135000.0;Commercial associate;Higher education;Married;House / apartment;-15761;-3173;1;0;0;0;Laborers;4.0
8000004;F;Y;Y;2;135000.0;Commercial associate;Higher education;Married;House / apartment;-15761;-3173;1;0;0;0;Laborers;4.0
8000005;F;Y;Y;2;135000.0;Commercial associate;Higher education;Married;House / apartment;-15761;-3173;1;0;0;0;Laborers;4.0
8000006;F;Y;Y;2;135000.0;Commercial associate;Higher education;Married;House / apartment;-15761;-3173;1;0;0;0;Laborers;4.0
8000007;F;Y;Y;2;135000.0;Commercial associate;Higher education;Married;House / apartment;-15761;-3173;1;0;0;0;Laborers;4.0
8000008;F;Y;Y;2;135000.0;Commercial associate;Higher education;Married;House / apartment;-15761;-3173;1;0;0;0;Laborers;4.0
8000009;F;Y;Y;2;135000.0;Commercial associate;Higher education;Married;House / apartment;-15761;-3173;1;0;0;0;Laborers;4.0
8000010;F;Y;Y;2;135000.0;Commercial associate;Higher education;Married;House / apartment;-15761;-3173;1;0;0;0;Laborers;4.0
8000011;F;Y;Y;2;135000.0;Commercial associate;Higher education;Married;House / apartment;-15761;-3173;1;0;0;0;Laborers;4.0
8000012;F;Y;Y;2;135000.0;Commercial associate;Higher education;Married;House / apartment;-15761;-3173;1;0;0;0;Laborers;4.0
8000013;F;Y;Y;2;135000.0;Commercial associate;Higher education;Married;House / apartment;-15761;-3173;1;0;0;0;Laborers;4.0
8000014;F;N;Y;1;211500.0;Commercial associate;Higher education;Civil marriage;House / apartment;-16212;-7099;1;0;0;0;Core staff;3.0
8000015;F;N;Y;1;211500.0;Commercial associate;Higher education;Civil marriage;House / apartment;-16212;-7099;1;0;0;0;Core staff;3.0
